,match_id,blue_top,blue_jungle,blue_middle,blue_bottom,blue_support,red_top,red_jungle,red_middle,red_bottom,red_support,blue_win
122,NA1_4628018689,Jayce,MonkeyKing,Cassiopeia,Jinx,Karma,Irelia,Gragas,Qiyana,Xayah,Rakan,False
123,NA1_4615866600,MonkeyKing,Udyr,Katarina,Zeri,Blitzcrank,Viktor,Elise,Tristana,Ezreal,Pyke,True
124,NA1_4627342323,Rumble,Graves,Gragas,Caitlyn,Nautilus,Gnar,FiddleSticks,Zoe,Aphelios,Thresh,True
125,NA1_4619056949,Olaf,Kindred,Swain,Zeri,Lulu,Tryndamere,LeeSin,AurelionSol,Jinx,TahmKench,False
126,NA1_4627669891,Jayce,Karma,Leblanc,Varus,MonkeyKing,Renekton,Soraka,Kaisa,Graves,Fizz,True
127,NA1_4617782243,Camille,JarvanIV,Kennen,Jinx,Alistar,Gragas,Belveth,Leblanc,Zeri,Blitzcrank,True
128,NA1_4630244503,Kennen,Hecarim,Zed,Xayah,Rakan,Rengar,FiddleSticks,Jinx,KSante,Neeko,True
129,NA1_4625840880,Malphite,Graves,Leblanc,Aphelios,Thresh,Olaf,LeeSin,Orianna,Twitch,Rakan,False
130,NA1_4606499150,Poppy,Rengar,Zoe,Kaisa,Pyke,Riven,JarvanIV,Gragas,Chogath,Senna,False
131,NA1_4620920726,Gnar,Ekko,Jayce,Varus,Rakan,Malphite,Nautilus,Malzahar,Jinx,Lulu,False
132,NA1_4623477769,Malphite,LeeSin,Sylas,Samira,Thresh,Kayle,Jhin,Trundle,Leblanc,Bard,False
133,NA1_4621562024,Gnar,Graves,Kassadin,Seraphine,Rakan,Garen,Nidalee,Yasuo,Veigar,Soraka,True
134,NA1_4624937770,Jax,Kindred,Galio,Jinx,Rakan,Malphite,Nidalee,Pyke,Zeri,Zed,False
135,NA1_4629796178,Gangplank,Viego,Ahri,Swain,Pyke,Sejuani,MonkeyKing,Rumble,Jinx,Thresh,True
136,NA1_4626772156,Sejuani,Viego,Fizz,Veigar,Rakan,Chogath,Khazix,Syndra,Sivir,Milio,True
137,NA1_4625047335,Singed,LeeSin,Anivia,Draven,Alistar,Camille,Graves,Lux,KogMaw,Lulu,True
138,NA1_4626830480,Jayce,Vi,Ahri,Jhin,Karma,Gragas,Kindred,Sylas,Jinx,Xerath,False
139,NA1_4629386986,Rengar,Graves,Akali,Zeri,Yuumi,Malphite,Gragas,Irelia,Jinx,Thresh,True
140,NA1_4623677433,Malphite,LeeSin,Akali,Aphelios,Blitzcrank,Maokai,Kindred,Viktor,Jinx,Milio,False
141,NA1_4626493636,Jax,Vi,Sylas,Sivir,Karma,Darius,Gragas,Galio,Aphelios,Rakan,True
142,NA1_4617829591,Ornn,Hecarim,Yasuo,Veigar,Thresh,Karma,Graves,Jayce,Ashe,Heimerdinger,True
143,NA1_4623892401,Pantheon,Graves,Leblanc,Kaisa,Leona,Karma,MonkeyKing,Kassadin,Ezreal,Xerath,False
144,NA1_4621413120,Jax,Khazix,Zac,Swain,Rakan,Malphite,Gragas,Yasuo,Jhin,Nautilus,True
145,NA1_4612906931,Warwick,RekSai,Syndra,Ashe,Heimerdinger,Singed,JarvanIV,Veigar,Draven,Karma,True
146,NA1_4616899700,Darius,Nunu,Veigar,Kaisa,Nautilus,Garen,Amumu,Lux,Jhin,Milio,True
147,NA1_4623640602,Malphite,LeeSin,Diana,Aphelios,Thresh,Gragas,Graves,Ahri,Draven,Braum,True
148,NA1_4621647611,Singed,Graves,Xayah,Galio,Rakan,Jayce,MonkeyKing,Rumble,Vayne,Thresh,False
149,NA1_4629640718,Riven,FiddleSticks,Yone,Jinx,Pyke,Akshan,Sylas,Vex,Draven,Nautilus,True
150,NA1_4623043086,Graves,Maokai,Yasuo,Veigar,Renata,Olaf,Nidalee,Gangplank,Jhin,Pyke,False
151,NA1_4620541049,DrMundo,RekSai,Leblanc,Swain,Senna,Malphite,LeeSin,Ahri,Zeri,Rakan,False
152,NA1_4629798127,Volibear,Rengar,Diana,Varus,Twitch,Kennen,Graves,Ahri,Caitlyn,Karma,True
153,NA1_4626345561,Gragas,KSante,Ryze,Sivir,Milio,Aatrox,Khazix,Leblanc,Caitlyn,Lux,True
154,NA1_4631953548,Olaf,LeeSin,Lux,Varus,Akshan,Shen,FiddleSticks,Vex,Jhin,Amumu,True
155,NA1_4631815867,Sion,Taric,Swain,Jhin,Nautilus,Darius,Ekko,Syndra,Jinx,Milio,False
156,NA1_4629953677,Sejuani,Kayn,Rumble,Draven,Brand,Vayne,MonkeyKing,Diana,Nautilus,Seraphine,False
157,NA1_4622222986,Kennen,Kindred,Veigar,Varus,Pyke,Jayce,Karthus,Seraphine,Jinx,Thresh,True
158,NA1_4615313265,Gragas,LeeSin,Yasuo,Jinx,Lulu,Sion,Shaco,Syndra,Twitch,Heimerdinger,True
159,NA1_4629864159,Kennen,Evelynn,Akshan,Xayah,Nautilus,Maokai,Gragas,Qiyana,Aphelios,Blitzcrank,False
160,NA1_4623833267,Malphite,Gragas,Talon,Aphelios,Blitzcrank,Sejuani,LeeSin,Taliyah,Jinx,Thresh,True
161,NA1_4613302952,Poppy,Hecarim,Viktor,Blitzcrank,Zeri,Kled,Vi,Teemo,Jinx,Milio,True
162,NA1_4626448497,Shen,Qiyana,FiddleSticks,Jinx,Milio,Udyr,Khazix,Annie,Kaisa,Senna,False
163,NA1_4617015579,Olaf,Hecarim,Malphite,Sivir,Annie,Kennen,Poppy,Jayce,Aphelios,TahmKench,True
164,NA1_4629051432,Malphite,Diana,Kayn,Kaisa,Janna,Kayle,Vi,Talon,Ahri,Nautilus,True
165,NA1_4623666232,Jax,Vi,Ahri,Zeri,Rakan,Tryndamere,Evelynn,KSante,Jinx,Leona,True
166,NA1_4628593665,Renekton,Karthus,Zed,Zeri,Milio,Jayce,Ivern,Rumble,Xayah,Pyke,True
167,NA1_4632142155,Sion,Ekko,Zoe,Yasuo,Twitch,Fiora,Evelynn,KSante,Kalista,Nautilus,False
168,NA1_4621750351,Maokai,Nunu,Yasuo,Draven,Rakan,Malphite,Zed,Leblanc,Sivir,Lulu,False
169,NA1_4624456799,Sejuani,Graves,Yasuo,Seraphine,TahmKench,Renekton,Vi,Malzahar,Xayah,Twitch,False
170,NA1_4611926463,Olaf,Vi,Veigar,Lucian,Nami,Gnar,Sylas,Sion,Varus,Nautilus,True
171,NA1_4620552697,Kennen,LeeSin,Akali,Xayah,Rakan,Sion,Kindred,Sylas,Ashe,Senna,True
172,NA1_4619841452,Darius,Maokai,Kennen,Draven,Nautilus,Jax,FiddleSticks,Katarina,Kaisa,Milio,True
173,NA1_4627065405,Riven,Kindred,Malphite,Yasuo,Zac,Fiora,Nunu,Pantheon,Xayah,Pyke,True
174,NA1_4625732144,Olaf,Udyr,Veigar,Seraphine,Senna,Darius,Pantheon,Leblanc,Aphelios,Thresh,False
175,NA1_4631940295,Gangplank,Kindred,Ahri,Jinx,Annie,Malphite,Pantheon,Leblanc,Jhin,Heimerdinger,True
176,NA1_4628459554,Sylas,Jinx,Graves,Thresh,TahmKench,Ekko,Nasus,Sion,Zeri,Seraphine,False
177,NA1_4619029555,Garen,Gragas,Ahri,Draven,Karma,Olaf,XinZhao,Karthus,Zeri,Lux,True
178,NA1_4625936679,Sivir,Viego,Vex,KSante,Lux,Sett,Blitzcrank,Viktor,Ashe,Bard,True
179,NA1_4628570936,Gragas,Kayn,Katarina,Samira,Nautilus,Pantheon,LeeSin,Kennen,Kaisa,Blitzcrank,False
180,NA1_4631697361,Sejuani,Elise,Qiyana,Xayah,Nami,Yone,Karthus,Nautilus,Tristana,Aphelios,True
181,NA1_4631434963,Sejuani,Graves,Aphelios,Seraphine,Milio,Riven,FiddleSticks,Talon,Xayah,Rakan,False
182,NA1_4621874257,Poppy,Vi,Lissandra,Aphelios,Senna,Jax,Graves,Swain,Vayne,Yuumi,True
183,NA1_4622373565,Jayce,Udyr,Cassiopeia,Varus,Velkoz,KSante,Graves,Leblanc,Vayne,Nautilus,False
184,NA1_4625148365,Malphite,LeeSin,Vex,Twitch,Lulu,Chogath,Rammus,Yasuo,Ashe,Seraphine,False
185,NA1_4619369322,Vladimir,MasterYi,Veigar,Xayah,Rakan,Irelia,MonkeyKing,Ahri,Nilah,Thresh,True
186,NA1_4631058547,Jayce,Udyr,Galio,Zeri,Yuumi,Kennen,Maokai,Tristana,Xayah,Sona,False
187,NA1_4622767522,KSante,Zilean,Anivia,Ezreal,Hecarim,Nautilus,Udyr,AurelionSol,Swain,Jayce,False
188,NA1_4624377207,Fiora,Kindred,Velkoz,Zeri,Zac,Garen,Hecarim,Anivia,Varus,Twitch,False
189,NA1_4629218515,DrMundo,Zac,Jayce,Samira,Rakan,Pantheon,Udyr,Yone,Draven,Gragas,False
190,NA1_4630280996,Jax,Viego,Veigar,Xayah,Sylas,Malphite,Hecarim,Viktor,Lucian,Sona,True
191,NA1_4622321765,Urgot,Nidalee,Irelia,Aphelios,Blitzcrank,Sett,Graves,Zoe,Ezreal,Thresh,True
192,NA1_4623314117,MonkeyKing,Khazix,Velkoz,Varus,Akali,Irelia,Udyr,Samira,Karma,Milio,False
193,NA1_4613978784,Fiora,Hecarim,Lissandra,Zeri,Blitzcrank,KSante,MonkeyKing,Vex,Ashe,Milio,True
194,NA1_4623684077,KSante,LeeSin,Azir,Aphelios,Bard,Jayce,MonkeyKing,Viktor,Jinx,Thresh,True
