,0
1092,NA1_4628676023
1093,NA1_4616749753
1094,NA1_4620435774
1095,NA1_4630598158
1096,NA1_4616950907
1097,NA1_4630907965
1098,NA1_4615479076
1099,NA1_4629981983
1100,NA1_4628978264
1101,NA1_4632065840
1102,NA1_4619005111
1103,NA1_4623869521
1104,NA1_4629304617
1105,NA1_4624505482
1106,NA1_4620982179
1107,NA1_4623563966
1108,NA1_4627261819
1109,NA1_4624831209
1110,NA1_4629899277
1111,NA1_4623848538
1112,NA1_4631172515
1113,NA1_4624051327
1114,NA1_4619200990
1115,NA1_4624712917
1116,NA1_4619389967
1117,NA1_4619648691
1118,NA1_4631453851
1119,NA1_4627925969
1120,NA1_4629255832
1121,NA1_4630954560
1122,NA1_4627307318
1123,NA1_4627916046
1124,NA1_4618725368
1125,NA1_4629036615
1126,NA1_4623641016
1127,NA1_4626394639
1128,NA1_4626279403
1129,NA1_4621294846
1130,NA1_4629817925
1131,NA1_4628769290
1132,NA1_4629174868
1133,NA1_4626402623
1134,NA1_4630527169
1135,NA1_4619674090
1136,NA1_4629611661
1137,NA1_4632076700
1138,NA1_4628161581
1139,NA1_4622287251
1140,NA1_4629305890
1141,NA1_4629337982
1142,NA1_4606526886
1143,NA1_4627463990
1144,NA1_4632151295
1145,NA1_4615152433
1146,NA1_4616760260
1147,NA1_4620957314
1148,NA1_4625842800
1149,NA1_4628615656
1150,NA1_4614576279
1151,NA1_4625487544
1152,NA1_4627582013
1153,NA1_4624135085
1154,NA1_4630180365
1155,NA1_4631287303
1156,NA1_4619815862
1157,NA1_4631218496
1158,NA1_4618313562
1159,NA1_4626153830
1160,NA1_4630459870
1161,NA1_4620928625
1162,NA1_4628708543
1163,NA1_4621180627
1164,NA1_4628325278
1165,NA1_4614801860
1166,NA1_4629214836
1167,NA1_4618993524
1168,NA1_4614609983
1169,NA1_4621129849
1170,NA1_4630229794
1171,NA1_4631479610
1172,NA1_4627587218
1173,NA1_4614243066
1174,NA1_4610290792
1175,NA1_4619793001
1176,NA1_4631517419
1177,NA1_4619106712
1178,NA1_4631989820
1179,NA1_4626398644
1180,NA1_4617978534
1181,NA1_4629679818
1182,NA1_4628980873
1183,NA1_4629982528
1184,NA1_4631050059
1185,NA1_4630907081
1186,NA1_4623633393
1187,NA1_4621547045
1188,NA1_4630759862
1189,NA1_4622822818
1190,NA1_4628688725
1191,NA1_4628210686
1192,NA1_4631749790
1193,NA1_4613973566
1194,NA1_4627531420
1195,NA1_4629652598
1196,NA1_4629241740
1197,NA1_4617971251
1198,NA1_4629960976
1199,NA1_4631106388
1200,NA1_4629868434
1201,NA1_4622706652
1202,NA1_4629809355
1203,NA1_4630403535
1204,NA1_4623673100
1205,NA1_4621254062
1206,NA1_4627260810
1207,NA1_4629019869
1208,NA1_4631666268
1209,NA1_4631591175
1210,NA1_4625000481
1211,NA1_4627707519
1212,NA1_4606506384
1213,NA1_4615388206
1214,NA1_4615213305
1215,NA1_4619778672
1216,NA1_4610558537
1217,NA1_4626511468
1218,NA1_4617541771
1219,NA1_4626997942
1220,NA1_4628169038
1221,NA1_4627169790
1222,NA1_4623899094
1223,NA1_4626462505
1224,NA1_4628335011
1225,NA1_4630024599
1226,NA1_4620258972
1227,NA1_4619993695
1228,NA1_4632191701
1229,NA1_4630845055
1230,NA1_4628456268
1231,NA1_4631031773
1232,NA1_4625089959
1233,NA1_4615320046
1234,NA1_4617223841
1235,NA1_4618229065
1236,NA1_4614495202
1237,NA1_4629072103
1238,NA1_4628230093
1239,NA1_4627047647
1240,NA1_4623958872
1241,NA1_4624587733
1242,NA1_4629786421
1243,NA1_4625263806
1244,NA1_4628054291
1245,NA1_4626447820
1246,NA1_4625654694
1247,NA1_4628546705
